	site	biome	time	date	sitedepth	daynight	tidenumber	sequence	moonphase	tide	timefromtide	lat	lon	precip	offshoreseastate	weather	temp	salinity	doc	tn	po4	no2no3	silicate	no2	nh4	pro	syn	peuk	hbact	algae	cyan	HC	other	PV	rub	sand	SC	sponge	sealevel	sealevel_m
Control-1	DNAcontrol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control-2	DNAcontrol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control-3	DNAcontrol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mock-E	mock	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mock-S	mock	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Negative-H2O	PCRnegative	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Positive-33	N Atl seawater	eutrophic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
USVItide-125	Cocoloba Reef	reef	6:24	2017-07-24	6.64	day	8-Ebb	8	new	Ebb	6	18.3154146	-64.7608498	none	1.6	partly cloudy	28.87	34.52	40.36	0	0.168	0.22	2.2	0.06	0.1	109645	24947	1730	695855	0.393333333	0.001666667	0.031666667	0.003333333	0.215	0.01	0.3	0.038333333	0.006666667	0.5	0.152
USVItide-126	Yawzi Reef	reef	6:13	2017-07-24	11.52	day	8-Ebb	8	new	Ebb	5	18.3145005	-64.7260978	none	1.6	partly cloudy	28.83	34.89	70.36	4.14	0.196	0.1	2.5	0.01	0.06	167316	35213	1519	856884	0.278333333	0.001666667	0.166666667	0.018333333	0.37	0.055	0.04	0.033333333	0.036666667	0.47	0.143
USVItide-127	Lameshur Seagrass	seagrass	6:00	2017-07-24	4.51	day	8-Ebb	8	new	Ebb	18	18.3177881	-64.7232301	none	1.6	partly cloudy	28.75	35.04	68.5	0	0.184	0.04	2.4	0.05	0.25	177750	64673	3052	986456	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	0.152
USVItide-128	Ditliff Reef	reef	6:31	2017-07-24	8.98	day	8-Ebb	8	new	Ebb	13	18.3139204	-64.7645268	none	1.6	partly cloudy	28.91	34.96	56.46	2.13	0.212	0.22	1.9	0.09	0.18	89677	23484	2011	696656	0.308333333	0	0.125	0.021666667	0.178333333	0.098333333	0.216666667	0.043333333	0.008333333	0.5	0.152
USVItide-129	Tektite Reef	reef	6:08	2017-07-24	9.81	day	8-Ebb	8	new	Ebb	10	18.3096396	-64.7222252	none	1.6	partly cloudy	28.85	34.9	71.16	8.32	0.173	-0.01	2.5	0.04	0.02	174206	38644	1814	887147	0.468333333	0.035	0.275	0.016666667	0.07	0.025	0.063333333	0.036666667	0.01	0.51	0.155
USVItide-13	Ditliff Reef	reef	12:48	2017-07-22	6.1	day	1-Low	1	new	Low	1	18.3139204	-64.7645268	none	1.1	partly cloudy	29.02	34.97	48.71	0	0.259	0.1	2.3	0.02	0.14	137855	18042	1898	872747	0.308333333	0	0.125	0.021666667	0.178333333	0.098333333	0.216666667	0.043333333	0.008333333	-0.1	-0.032
USVItide-130	Fish Bay Mangrove	mangrove	6:43	2017-07-24	0.5	day	8-Ebb	8	new	Ebb	25	18.3206508	-64.7621709	none	1.6	partly cloudy	28.19	37.38	170.48	4.34	0.249	0.1	3.5	0.08	0.33	0	53817	2363	1546875	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48	0.146
USVItide-131	Fish Bay Seagrass	seagrass	6:42	2017-07-24	1.61	day	8-Ebb	8	new	Ebb	24	18.3204429	-64.7633988	none	1.6	partly cloudy	29.64	35.32	69.8	0	0.207	0.04	2.5	0.04	0.13	20250	57150	2067	1133705	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48	0.146
USVItide-132	"Lameshur Mangrove, outlet"	mangrove	5:40	2017-07-24	0.86	night	8-Ebb	8	new	Ebb	38	18.3185583	-64.7242358	none	1.7	partly cloudy	27.84	36.31	109.13	0	0.261	0.6	3.8	0.1	0.97	76964	38461	2531	1546875	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	0.151
USVItide-14	"Lameshur Mangrove, outlet"	mangrove	11:55	2017-07-22	0.65	day	1-Low	1	new	Low	54	18.3185583	-64.7242358	none	1.1	partly cloudy	29.56	35.97	183.9	14.98	0.288	0.71	5.8	0.25	1.5	42244	2630	1673	1968750	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.07	-0.02
